French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
car,because
